,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,, Marital,,
1, First,,,,,,,,,,,,, Phone,,, Education,, Occupation,, Salary,, Status,,
2,, Name,, Last Name, Gender,, Age 24, Emall,,,,,, 536-9509-29,,,,, Pharmacist,, 4795 8267,, Single Married,,
3,, Lyndon,, Ross Craig, Male Female, _‘, 28,,, n.craig@randatmail.com,,,, 192-3954-58_|,,, Doctoral Doctoral, _|, Economist Pharmacist,, 9478, _|, Married,,
4,, Naomi,, Moore, Female,, 21,,,,,,,,, Upper,,,, J,,,,,
5,,,,,,, |24,,, j.chapman@randatmail.com,,,,,,, secondary,, Scientist,, 9517,, Single,,
6,, Jessica,, Chapman,,,,,,,,,,,, Upper, secondal,, Journalist,, 3949,, Single,,
7,, Tiana,, Ross,,, 22,,, tross@randatmail.com,,,, 575-6360-86,,, Doctoral,, Astronomer,, 7027,, Single Single, J,
8,, Mike,, Brown, Male Male,, 29,,, m.brown@randatmail.com r.harper@randa(mail.com,,,, 378-2237-42,,, Primary,, Firefighter,, 6907 8323,,,,
9,, Rebecca,, Harper Wells, Female,, |24 26,,, r.wells@randatmail.com,,,,,,, Bachelor,, Baker ]_Arr.heologist,, 4491,, Single,,
10,, Sophia,, Ferguson,, Female_|, 26,,, s.ferguson@randatmail.com,,,,,,, Upper,,,,,,,,
11,,,,,, Female, |27,,, b.brooks@randatmail.com,,,, 211-3146-95,,, secondary,, Producer Veterinarian,, 1784 _| 5229,, Married Married,,
12,, Briony,, LBrooks Adams, Male,,,,,,,,, LZ70»3930-13,,, Bachelor Lower,,,,,,,,
13,, Freddie,,,,,,,,,,,,,,, secondary,,, Officer, 8972,,,,
14,, Cadie,, Morgan,,, 27,,,,,,,,,, Lower,, Architect,, 3256,, Married,,
15,, Aida,, Adams, Female,, 27,,, a.adams@randatmail.com,,,, 865-2700-98_|, 659-5305-81,, secondary Master,,,,,, Married,,
16,, Melissa,, Murphy,, Female, 30,,," m,murphy@randatmail.com",,,,, 496-0463-17,, Master,, Cook,, 2608,, Married,,
17,, Alexander,, Miller, Male Male,,,,,,,,,, 940-4336-78,, Master,, Journalist,, 9018 27,, Married Single,,
18,, Owen Kate,, Morgan,,, 25,,, k.morgan@randatmail.com,,,,, 044-1666-96_|,, Primary Master,, Lawer,, 1548,,,,
19,, Jordan,, Evans, Male,, 26 T,,," j,evans@randatmail.com",,,,,,, Lower,, Graphic,,,,,,
20,,,,, Male,, 19,,,,,,,,,, secondary,, Designer,, 5083 1677,, Married Single,,
21,, Aston,, Cunningham Reed,, Female, |21,,, v.reed@randatmail.com,,,,, 312-1424-79 150-6200-92_|,, Doctoral Primary,, Astronomer Cook,,,,, ﬂnglej,
22,, D:rederick,, Ferguson,, Male, |29,,,,,,,,,, Upper,,,,,,,,
23,,,,,, Female, 28,,, r.davis@randatmail.com,,,,, 386-2662-27,, secondary,, Archeologist,,, 2092 8163, Married Single,,
24,, Rosie,, Davis Davis,, Female, 20,,,,,,,, 844-2125-32,, Master Master,, Driver Salesman,,, 7450, g,,
25,, Cherry,, Ferguson,, female, |23, ¢,, ferguson@randatmail.com,,,,,,,,,,,,,,,
